content,score,at,clean_no_stem,clean_stem,skor_base,label_base,skor_domain,label_domain,label,split
woy monton bisa buat game gak udah empat belas kali gua kalah gak menang menang bisa buat game gak lu,1,2026-07-27 07:57:30,woy moonton buat game tidak udah empat belas kali kalah tidak menang menang buat game tidak kamu,woy moonton buat game tidak udah empat belas kali kalah tidak menang menang buat game tidak kamu,-14.0,Negatif,-14.0,Negatif,Negatif,train
KALAU NGASIH TEAM YG BENER LAHHH,1,2026-07-27 07:54:47,kalau ngasih team bener lahh,kalau ngasih team bener lahh,3.0,Positif,3.0,Positif,Positif,test
mooton bujang intinya game pp game bujang main 20 kali menang cuma 1 kali mau Mabar solo tetap sama monton Kon bujanginam mooton pp,1,2026-07-27 07:53:01,moonton bujang intinya game pp game bujang main kali menang cuma kali mau mabar solo tetap sama moonton kon bujanginam moonton pp,moonton bujang inti game pp game bujang main kali menang cuma kali mau mabar solo tetap sama moonton kon bujanginam moonton pp,20.0,Positif,24.0,Positif,Positif,test
capek juga main selalu kalah saya sebagai solo rankk dapat tim selalu jelek tim musuh selalu kuat kuat msuh,1,2026-07-27 07:52:40,capek main selalu kalah solo rankk tim selalu jelek tim musuh selalu kuat kuat msuh,capek main selalu kalah solo rankk tim selalu jelek tim musuh selalu kuat kuat msuh,-21.0,Negatif,-21.0,Negatif,Negatif,test
"Pengen balik ke ml tolong, jangan tambahkan fitur fitur bikin ngelag. Ayolah Montoon",2,2026-07-27 07:52:24,pengen balik ml jangan tambahkan fitur fitur bikin ngelag ayolah moonton,ken balik ml jangan tambah fitur fitur bikin ngelag ayo moonton,-5.0,Negatif,-8.0,Negatif,Negatif,train
game sistem gj kasih aja gw kalahh terus tim musuh jago tim gw poke,5,2026-07-27 07:52:13,game sistem gj kasih aja kalahh terus tim musuh jago tim poke,game sistem gj kasih aja kalahh terus tim musuh jago tim poke,-9.0,Negatif,-9.0,Negatif,Negatif,train
game gateli lose trike tros,1,2026-07-27 07:50:33,game gateli lose trike tros,game gateli lose trike tros,2.0,Positif,2.0,Positif,Positif,train
makasih moontoon,5,2026-07-27 07:50:26,makasih moontoon,makasih moontoon,4.0,Positif,4.0,Positif,Positif,train
"Sumpah ini moonton kejam dah.Lagi asik main tiba² malah restart, pengen nonton pertandingan teman malah di kick ama sistemnya,mau tukar kode terlalu banyak aksi ditunggu 3 jam beh lama nga tuh,star protection tidak aktif padahal masih ada 4,sinyal bagus tapi malah ngelag aneh ngatuh,game nga adil ud party malah musuhnya top global sampai lose streak,ngestuck digrandmaster lagi males bet dah moonton memang buat game gak pernah pake otak membuat pemainya tidak nyaman untuk dimainkan Dongo bet",1,2026-07-27 07:50:21,sumpah moonton kejam asik main tiba malah restart pengen nonton pertandingan teman malah kick ama sistemnya mau tukar kode terlalu banyak aksi ditunggu jam beh lama nga tuh star protection tidak aktif padahal sinyal bagus malah ngelag aneh ngatuh game nga adil ud party malah musuhnya top global lose streak ngestuck digrandmaster males bet moonton memang buat game tidak pernah pake otak membuat pemainya tidak nyaman dimainkan dongo bet,sumpah moonton kejam asik main tiba malah restart ken nonton tanding teman malah kick ama sistem mau tukar kode terlalu banyak aksi tunggu jam beh lama nga tuh star protection tidak aktif padahal sinyal bagus malah ngelag aneh ngatuh game nga adil ud party malah musuh top global lose streak ngestuck digrandmaster males bet moonton memang buat game tidak pernah pake otak buat mai tidak nyaman main dongo bet,-13.0,Negatif,-11.0,Negatif,Negatif,train
bagus keren,5,2026-07-27 07:48:29,bagus keren,bagus keren,-2.0,Negatif,7.0,Positif,Positif,train
"Jaringan bagus, tapi ping tinggi. Matchmaking tidak seimbang. Tolong perbaiki lah",3,2026-07-27 07:46:29,jaringan bagus ping tinggi matchmaking tidak seimbang perbaiki lah,jaring bagus ping tinggi matchmaking tidak imbang baik lah,-7.0,Negatif,-2.0,Negatif,Negatif,train
sangat menghibur buat isi kekosongan,5,2026-07-27 07:44:13,sangat menghibur buat isi kekosongan,sangat hibur buat isi kosong,-7.0,Negatif,-7.0,Negatif,Negatif,train
ton moonton aku tahu kamu sibuk tapi tolong masalah jaringanya benerin.sama tolong buatin skin untuk beberapa hero yang skin nya sedikit sama benerin bug² yang masih ada karena aku sering nemuin bug saat main rank,4,2026-07-27 07:43:39,ton moonton aku tahu kamu sibuk masalah jaringanya benerin sama buatin skin beberapa hero skin nya sedikit sama benerin bug aku sering nemuin bug main rank,ton moonton aku tahu kamu sibuk masalah jaringanya benerin sama buatin skin beberapa hero skin nya sedikit sama benerin bug aku sering nemuin bug main rank,4.0,Positif,0.0,Positif,Positif,train
karena game ini sangatlah seru walaupun ada yang berkata kasar,5,2026-07-27 07:43:27,game sangatlah seru walaupun berkata kasar,game sangat seru walaupun kata kasar,2.0,Positif,5.0,Positif,Positif,train
min tolong lah ilangin ai di rank cape saya min dari legend 1 🌟 5 turun ke 🌟 1 gara²ketemu ai di rank,5,2026-07-27 07:43:24,min lah ilangin ai rank cape min legend turun gara ketemu ai rank emoji_positif emoji_positif,min lah ilangin ai rank cape min legend turun gara ketemu ai rank emoji_positif emoji_positif,-9.0,Negatif,-9.0,Negatif,Negatif,train
"kasih tim yang jelas masa mode renk ada bot tim sendiri bot musuh player semua, ini bukan player skill bot tapi beneran bot, kekurangan player kah monton?",1,2026-07-27 07:42:44,kasih tim jelas masa mode renk bot tim sendiri bot musuh player semua bukan player skill bot beneran bot kekurangan player moonton,kasih tim jelas masa mode renk bot tim sendiri bot musuh player semua bukan player skill bot beneran bot kurang player moonton,-30.0,Negatif,-30.0,Negatif,Negatif,test
taik ls terus orang sistem match making gapernah seimbang tim gapernah dapet yang bagus dan serius,1,2026-07-27 07:42:06,taik losestreak terus orang sistem match making gapernah seimbang tim gapernah dapet bagus serius,taik losestreak terus orang sistem match making gapernah imbang tim gapernah dapet bagus serius,-24.0,Negatif,-19.0,Negatif,Negatif,train
game sampah nyariin musuh ga adil musuh di kasih yang jago temen sendiri oon. buat lu kalo mau mainin ni game ga usah kata gw kaga ada manfaatnya bikin stress doang,1,2026-07-27 07:41:39,game sampah nyariin musuh tidak adil musuh kasih jago temen sendiri oon buat kamu kalau mau mainin ni game tidak usah kata tidak manfaatnya bikin stress doang,game sampah nyariin musuh tidak adil musuh kasih jago temen sendiri oon buat kamu kalau mau mainin ni game tidak usah kata tidak manfaat bikin stress doang,-32.0,Negatif,-32.0,Negatif,Negatif,train
jangan tanya lagi susah bet main di epic cok dari sistem semua,5,2026-07-27 07:41:28,jangan tanya susah bet main epic cok sistem semua,jangan tanya susah bet main epic cok sistem semua,-13.0,Negatif,-13.0,Negatif,Negatif,train
